,Time,Theta1,Theta2,Omega1,Omega2,Theta1_dot,Theta2_dot,Omega1_dot,Omega2_dot
9112,4.556,1.9427517676876183,27.197536938032023,7.861317813795345,-22.149935259548666,7.861317813795345,-22.149935259548666,77.59861789302714,-71.2999809004183
9113,4.5565,1.9466895502617398,27.18645825451571,7.8993726965360045,-22.18449929490667,7.8993726965360045,-22.18449929490667,72.74755188031673,-63.45472617424256
9114,4.557,1.9506465291278658,27.17536167527459,7.934825038950043,-22.214807836231028,7.934825038950043,-22.214807836231028,67.77723634609401,-55.37441747815326
9115,4.5575,1.9546216430202858,27.164248840986325,7.967562277021083,-22.240643365790287,7.967562277021083,-22.240643365790287,62.699571018661416,-47.08143384784452
9116,4.558,1.9586127182663826,27.15312376583633,7.997308214511749,-22.261492789578046,7.997308214511749,-22.261492789578046,57.52813951732244,-38.601165079941275
9117,4.5585,1.9626174237806229,27.14199073788292,8.02393224650863,-22.277113789721863,8.02393224650863,-22.277113789721863,52.27871664302863,-29.962982777321994
9118,4.559,1.9666342965403212,27.130852168410332,8.047506402933564,-22.28763347196397,8.047506402933564,-22.28763347196397,46.96750901215547,-21.197271709150552
9119,4.5595,1.9706619036194886,27.11971041580222,8.068102361360586,-22.29317842169811,8.068102361360586,-22.29317842169811,41.61085496115752,-12.334791701210863
9120,4.5600000000000005,1.974698842188812,27.108567785541744,8.085791447015778,-22.293874703969426,8.085791447015778,-22.293874703969426,36.22511604207315,-3.4064563432278585
9121,4.5605,1.9787437395156333,27.097426530211603,8.10064463277719,-22.28984786347449,8.10064463277719,-22.28984786347449,30.82656854066411,5.556888544980189
9122,4.561,1.9827952529639896,27.086288849493943,8.112732539175031,-22.281222924561323,8.112732539175031,-22.281222924561323,25.43129641779657,14.524683796995495
9123,4.5615,1.9868520699945882,27.0751568901704,8.122125434391537,-22.268124391229367,8.122125434391537,-22.268124391229367,20.05508705039267,23.466870291462534
9124,4.562,1.990912908164818,27.064032746122106,8.128893234261012,-22.250676247129466,8.128893234261012,-22.250676247129466,14.713331092719145,32.35409412468894
9125,4.5625,1.9949765151287226,27.052918458329717,8.133105502269794,-22.22900195556399,8.133105502269794,-22.22900195556399,9.420927694418618,41.157901010578684
9126,4.563,1.9990416686370422,27.041816014873344,8.134831449556316,-22.203224459486655,8.134831449556316,-22.203224459486655,4.192196200617097,49.85091758272966
9127,4.5635,2.003107176537193,27.030727350932576,8.134139934911058,-22.17346618150258,8.134139934911058,-22.17346618150258,-0.9592046740058826,58.40701754816227
9128,4.564,2.0071718767732447,27.019654348786556,8.131099464776568,-22.139849023868475,8.131099464776568,-22.139849023868475,-6.020349357784305,66.80147095574516
9129,4.5645,2.0112346373859644,27.008598837813857,8.125778193247447,-22.102494368492337,8.125778193247447,-22.102494368492337,-10.979108947947285,75.0110751840187
9130,4.565,2.0152943565127956,26.99756259449255,8.11824392207035,-22.061523076933558,8.11824392207035,-22.061523076933558,-15.824205251020977,83.01426661225655
9131,4.5655,2.0193499623878344,26.986547342400247,8.108564100644033,-22.017055490403195,8.108564100644033,-22.017055490403195,-20.545255017661308,90.79121230613023
9132,4.566,2.0234004133418746,26.975554752214002,8.09680582601927,-21.96921142976351,8.09680582601927,-21.96921142976351,-25.13280422893386,98.32388141369253
9133,4.5665000000000004,2.0274446978023857,26.96458644171035,8.08303584289889,-21.918110195528193,8.08303584289889,-21.918110195528193,-29.578352461985475,105.59609631913666
9134,4.567,2.0314818342934915,26.95364397576538,8.067320543637855,-21.86387056786262,8.067320543637855,-21.86387056786262,-33.87436752427877,112.5935639334073
9135,4.5675,2.035510871436012,26.94272886635462,8.049725968243115,-21.806610806583343,8.049725968243115,-21.806610806583343,-38.014290692885844,119.30388780386113
9136,4.5680000000000005,2.0395308879474436,26.93184257255308,8.03031780437367,-21.746448651158325,8.03031780437367,-21.746448651158325,-41.99253302586711,125.71656199386481
9137,4.5685,2.043540992641937,26.920986500535324,8.009161387340686,-21.68350132070728,8.009161387340686,-21.68350132070728,-45.804463325063416,131.82294791424235
9138,4.569,2.0475403244303383,26.910162003575348,7.986321700107292,-21.61788551400104,7.986321700107292,-21.61788551400104,-49.44638842163645,137.61623547788736
9139,4.5695,2.051528052320164,26.899370382046662,7.961863373288706,-21.549717409461973,7.961863373288706,-21.549717409461973,-52.91552652690432,143.09139009555906
9140,4.57,2.0555033754156122,26.888612883422237,7.935850685152164,-21.479112665163754,7.935850685152164,-21.479112665163754,-56.209974442033456,148.24508713588247
9141,4.5705,2.059465522917536,26.877890702274605,7.908347561617101,-21.40618641883187,7.908347561617101,-21.40618641883187,-59.32866945079221,153.07563553588577
9142,4.571,2.063413754123484,26.86720498027573,7.879417576254879,-21.33105328784286,7.879417576254879,-21.33105328784286,-62.27134673191469,157.58289227389017
9143,4.5715,2.0673473584276816,26.856556806197062,7.8491239502889085,-21.253827369224688,7.8491239502889085,-21.253827369224688,-65.03849312237864,161.76816940610942
9144,4.572,2.071265655321008,26.8459472159096,7.817529552594826,-21.174622239657158,7.817529552594826,-21.174622239657158,-67.63129804290239,165.6341353273024
9145,4.5725,2.0751679943910397,26.83537719238378,7.78469689970017,-21.0935509554711,7.78469689970017,-21.0935509554711,-70.05160236366942,169.18471184757283
9146,4.573,2.079053755322028,26.824847665689532,7.7506881557845295,-21.010726052648764,7.7506881557845295,-21.010726052648764,-72.30184594407649,172.42496858676168
9147,4.5735,2.0829223478948795,26.814359512996326,7.715565132679738,-20.926259546824276,7.715565132679738,-20.926259546824276,-74.38501452778685,175.3610160800164
9148,4.574,2.0867732119871967,26.803913558573072,7.679389289869512,-20.840262933282755,7.679389289869512,-20.840262933282755,-76.30458661528631,177.9998988668409
9149,4.5745000000000005,2.090605817573258,26.79351057378817,7.64222173448962,-20.752847186960736,7.64222173448962,-20.752847186960736,-78.06448087273996,180.34948970580547
9150,4.575,2.0944196647239965,26.783151277109567,7.604123221328092,-20.664122762446667,7.604123221328092,-20.664122762446667,-79.66900457034448,182.41838592232634
9151,4.5755,2.0982142836070414,26.772836334104646,7.565154152824823,-20.574199593979944,7.565154152824823,-20.574199593979944,-81.12280347698623,184.2158087605999
