,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
41,4.2563004,15.809785,0.61935854,-19.901144,-0.2394385,0.11746531,-0.26654744,0.38278398,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
42,2.751212,13.355341,-6.158498,10.428423,0.10149017,0.24663462,0.290748,0.058724105,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
43,4.1020536,4.694774,-2.7615256,17.580214,-0.21854888,0.15285705,-0.4852075,0.15755469,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
44,3.857369,46.54065,-1.6843729,22.31445,-0.17500944,0.20124757,-0.02812934,0.4238574,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
45,2.339086,85.085236,-4.195961,23.850243,0.19178402,0.18533154,0.12264504,0.44291395,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
46,5.092959,20.976732,-5.493925,-8.750548,-0.24761844,-0.09906563,-0.021144152,0.041782826,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
47,4.4740653,17.688103,-5.5026712,7.8435335,-0.25916174,0.06296094,-0.50382763,-0.043187477,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
48,2.1236315,41.093163,-2.6333065,20.913855,0.22697215,0.14004475,0.16035452,0.39829072,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
49,3.0631418,17.488214,-8.08058,-12.836083,0.020901382,0.26587972,-0.23996973,0.21042566,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
50,3.5710645,30.271315,-2.5513868,19.282751,-0.11105139,0.24247986,-0.353895,0.1322262,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
51,2.790392,37.941963,1.1575707,19.992424,0.0917516,0.25042072,0.15588528,-0.00845331,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
52,2.088605,20.086374,-8.083331,13.951505,0.23173723,0.13201043,0.48370093,0.04458516,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
53,3.934843,19.751139,-10.552622,-8.083295,-0.19006036,0.18709876,0.01911506,0.021646246,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
54,4.118129,4.5961795,-3.0665212,18.24684,-0.22097772,0.14932424,-0.4858789,0.1802476,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
55,2.3349702,61.119694,3.6146739,21.871078,0.19254519,0.18454063,-0.071494445,0.2221167,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
56,4.1558785,21.00037,2.6963234,-16.214127,-0.22645593,0.14087799,-0.0033739358,0.28703994,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
